('coop', 'poultry') ('aquarium', 'fish')  << [('aquarium', 'fish'), ('forest', 'wildlife'), ('crib', 'nursery'), ('fence', 'yard'), ('barn', 'tool')]
('caption', 'cartoon') ('subtitle', 'film')  << [('byline', 'newspaper'), ('laughter', 'comedy'), ('subtitle', 'film'), ('translation', 'paraphrase'), ('billboard', 'road')]
('arable', 'cultivation') ('navigable', 'sailing')  << [('exploited', 'protection'), ('healthy', 'medication'), ('insular', 'discovery'), ('productive', 'surplus'), ('navigable', 'sailing')]
('thicket', 'shrubs') ('grove', 'trees')  << [('grove', 'trees'), ('orchard', 'apples'), ('pasture', 'cows'), ('reef', 'waves'), ('crop', 'plants')]
('quart', 'volume') ('mile', 'distance')  << [('day', 'night'), ('mile', 'distance'), ('decade', 'century'), ('friction', 'heat'), ('part', 'whole')]
('throng', 'people') ('swarm', 'insects')  << [('game', 'players'), ('picnic', 'woods'), ('swarm', 'insects'), ('cat', 'kittens'), ('vase', 'flowers')]
('journal', 'article') ('anthology', 'poem')  << [('dance', 'ballet'), ('magazine', 'cover'), ('set', 'scenery'), ('anthology', 'poem'), ('concert', 'orchestra')]
('preamble', 'statute') ('foreword', 'novel')  << [('interlude', 'musical'), ('conclusion', 'argument'), ('foreword', 'novel'), ('epilogue', 'address'), ('premiere', 'performance')]
('rent', 'property') ('hire', 'employee')  << [('sue', 'lawyer'), ('hire', 'employee'), ('pose', 'painter'), ('pay', 'debtor'), ('purchase', 'buyer')]
('virtuoso', 'music') ('bard', 'poetry')  << [('bard', 'poetry'), ('crescendo', 'scale'), ('lyricist', 'melody'), ('portrait', 'photography'), ('critic', 'performance')]
('map', 'navigate') ('blueprint', 'build')  << [('manuscript', 'submit'), ('license', 'revoke'), ('writing', 'erase'), ('blueprint', 'build'), ('receipt', 'pay')]
('skull', 'head') ('skeleton', 'body')  << [('heart', 'organ'), ('finger', 'hand'), ('skeleton', 'body'), ('elbow', 'joint'), ('scalp', 'hair')]
('copyright', 'book') ('patent', 'design')  << [('franchise', 'license'), ('lease', 'owner'), ('patent', 'design'), ('trademark', 'registration'), ('brand', 'manufacturer')]
('bird', 'avian') ('dog', 'canine')  << [('plant', 'tropical'), ('meat', 'carnivorous'), ('snake', 'slippery'), ('dog', 'canine'), ('lung', 'amphibian')]
('mason', 'stone') ('carpenter', 'wood')  << [('teacher', 'chalk'), ('carpenter', 'wood'), ('soldier', 'gun'), ('photograph', 'camera'), ('book', 'word')]
('choreography', 'dance') ('plot', 'story')  << [('ceremony', 'sermon'), ('agenda', 'advertisement'), ('poetry', 'recitation'), ('instrumentation', 'conductor'), ('plot', 'story')]
('haiku', 'poem') ('novel', 'book')  << [('song', 'musician'), ('novel', 'book'), ('artist', 'painting'), ('page', 'typeface'), ('no', 'choice')]
('livid', 'angry') ('effusive', 'emotional')  << [('vital', 'wary'), ('effusive', 'emotional'), ('vain', 'beautiful'), ('resolute', 'weak'), ('old', 'modern')]
('iron', 'metal') ('emerald', 'gem')  << [('hydrogen', 'water'), ('rock', 'quarry'), ('wheel', 'bicycle'), ('emerald', 'gem'), ('coral', 'ocean')]
('treason', 'country') ('embezzlement', 'employer')  << [('settlement', 'lawyer'), ('embezzlement', 'employer'), ('justice', 'honor'), ('hospitality', 'generosity'), ('chagrin', 'mistake')]
('yearn', 'longing') ('enjoy', 'pleasure')  << [('beware', 'danger'), ('rush', 'patience'), ('enjoy', 'pleasure'), ('suppress', 'rage'), ('sleep', 'insomnia')]
('wedding', 'marriage') ('coronation', 'reign')  << [('birthday', 'cake'), ('coronation', 'reign'), ('graduation', 'diploma'), ('promotion', 'job'), ('decoration', 'bravery')]
('border', 'country') ('shore', 'ocean')  << [('current', 'river'), ('water', 'lake'), ('waves', 'sea'), ('horizon', 'sunset'), ('shore', 'ocean')]
('buttress', 'support') ('ornament', 'decoration')  << [('encore', 'applause'), ('ornament', 'decoration'), ('choreography', 'dance'), ('prayer', 'religion'), ('thesis', 'evidence')]
('goggles', 'eyes') ('helmet', 'head')  << [('belt', 'waist'), ('earrings', 'ears'), ('razor', 'hair'), ('gloves', 'cold'), ('helmet', 'head')]
('kernel', 'nut') ('yolk', 'egg')  << [('yolk', 'egg'), ('grape', 'raisin'), ('flour', 'bread'), ('soil', 'seed'), ('thorn', 'stem')]













('legend', 'map') ('key', 'chart')  << [('subtitle', 'translation'), ('bar', 'graph'), ('figure', 'blueprint'), ('key', 'chart'), ('footnote', 'information')]
('billboard', 'advertisement') ('canvas', 'painting')  << [('sculpture', 'museum'), ('store', 'window'), ('library', 'book'), ('canvas', 'painting'), ('theater', 'intermission')]
('custom', 'society') ('rule', 'game')  << [('hypothesis', 'evidence'), ('testimony', 'trial'), ('ballot', 'election'), ('rule', 'game'), ('contest', 'debate')]
('abrasive', 'skin') ('corrosive', 'iron')  << [('flammable', 'fire'), ('resilient', 'shock'), ('soluble', 'water'), ('corrosive', 'iron'), ('responsive', 'stimulus')]
('canal', 'waterway') ('reservoir', 'lake')  << [('skyline', 'city'), ('bank', 'stream'), ('hub', 'wheel'), ('dam', 'river'), ('reservoir', 'lake')]
('neighbor', 'proximity') ('adversary', 'opposition')  << [('supervisor', 'obedience'), ('comrade', 'victory'), ('adversary', 'opposition'), ('traitor', 'loyalty'), ('teammate', 'competitiveness')]
('chief', 'hierarchy') ('summit', 'mountain')  << [('office', 'rank'), ('platoon', 'army'), ('president', 'term'), ('lawyer', 'court'), ('summit', 'mountain')]
('orator', 'speech') ('comedian', 'jokes')  << [('protagonist', 'story'), ('chronicler', 'events'), ('playwright', 'stage'), ('comedian', 'jokes'), ('vocalist', 'voice')]
('jubilation', 'joy') ('compassion', 'sympathy')  << [('exaggeration', 'truth'), ('compassion', 'sympathy'), ('security', 'instability'), ('fortitude', 'danger'), ('emotion', 'anger')]
('rangers', 'forest') ('police', 'precinct')  << [('panel', 'contest'), ('corps', 'army'), ('members', 'board'), ('police', 'precinct'), ('climbers', 'mountain')]
('raucous', 'sound') ('rough', 'texture')  << [('dim', 'light'), ('noisy', 'uproar'), ('tanned', 'leather'), ('rough', 'texture'), ('hard', 'granite')]
('corroborate', 'claim') ('document', 'assertion')  << [('document', 'assertion'), ('disprove', 'evidence'), ('sentence', 'punishment'), ('promise', 'advancement'), ('disseminate', 'information')]
('viscous', 'flow') ('stiff', 'bend')  << [('transparent', 'see'), ('stationary', 'stop'), ('arid', 'rain'), ('stiff', 'bend'), ('damp', 'soak')]
('barricade', 'access') ('bind', 'movement')  << [('heal', 'illness'), ('demand', 'due'), ('bind', 'movement'), ('complete', 'task'), ('chat', 'conversation')]
('shear', 'wool') ('reap', 'wheat')  << [('reap', 'wheat'), ('whittle', 'wood'), ('sweep', 'broom'), ('prune', 'tree'), ('rake', 'leaves')]
('epilogue', 'book') ('finale', 'symphony')  << [('sequel', 'movie'), ('conclusion', 'title'), ('tiff', 'quarrel'), ('intermission', 'play'), ('finale', 'symphony')]
('cooperation', 'collusion') ('imitation', 'forgery')  << [('evidence', 'proof'), ('achievement', 'reward'), ('damage', 'compensation'), ('imitation', 'forgery'), ('emotion', 'ecstasy')]
('gaze', 'observer') ('hear', 'listener')  << [('hear', 'listener'), ('banish', 'exile'), ('separate', 'joint'), ('operate', 'doctor'), ('sprain', 'ankle')]
('ethos', 'values') ('code', 'principles')  << [('accord', 'nations'), ('code', 'principles'), ('policy', 'officials'), ('debate', 'opinions'), ('offense', 'criminals')]
('ruler', 'line') ('compass', 'circle')  << [('stamp', 'letter'), ('period', 'dot'), ('key', 'door'), ('compass', 'circle'), ('thermometer', 'degree')]
('manager', 'store') ('administrator', 'hospital')  << [('technician', 'laboratory'), ('student', 'school'), ('administrator', 'hospital'), ('spectator', 'arena'), ('president', 'electorate')]
